mixture_domain,quality_domain,mapping_type,effective_mapping_type,quality_value,quality_value_source,note
arxiv,arxiv,direct,direct,0.6621691273889674,Q1_domain_mean,配方域名与质量信号域名一致
github,github,direct,direct,0.5018910874401182,Q1_domain_mean,配方域名与质量信号域名一致
stackexchange,stackexchange,direct,direct,0.5653861608421685,Q1_domain_mean,配方域名与质量信号域名一致
wikipedia_en,wikipedia,near_direct,near_direct,0.550517090902377,Q1_domain_mean,名称略有差异，语义对应
gutenberg_pg_19,book,near_direct,near_direct,0.6371943267020863,Q1_domain_mean,书籍类文本，可参考 book 域质量信号
pile_cc,commoncrawl,near_direct,near_direct,0.5766921690540124,Q1_domain_mean,网页抓取类文本，可参考 commoncrawl 域质量信号
dm_mathematics,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
freelaw,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
nih_exporter,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
pubmed_central,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
philpapers,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
enron_emails,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
ubuntu_irc,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
europarl,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
hackernews,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
pubmed_abstracts,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
uspto_backgrounds,(none),inferred,inferred_global_prior,0.578738802332027,equal_domain_prior_for_inferred_mapping,无同名质量域，需自行建立关联
