observation_id,source_group,source_file,provenance,split_role,group_id,lineage_group,observed_fields,target_fields,is_duplicate,is_derived,is_extrapolated,is_condition_overlap,N_params_B,D_tokens_B,Q_score,val_loss,data_type,family,experiment_id,step,condition_key
B1_1,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,0.134,,4.7388,,Pythia,,64,0.070542|0.134|
B1_2,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,0.268,,4.3541,,Pythia,,128,0.070542|0.268|
B1_3,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,0.537,,4.0384,,Pythia,,256,0.070542|0.537|
B1_4,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,1.074,,3.7776,,Pythia,,512,0.070542|1.074|
B1_5,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,2.097,,3.5698,,Pythia,,1000,0.070542|2.097|
B1_6,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,4.194,,3.3922,,Pythia,,2000,0.070542|4.194|
B1_7,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,6.291,,3.3024,,Pythia,,3000,0.070542|6.291|
B1_8,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,8.389,,3.2452,,Pythia,,4000,0.070542|8.389|
B1_9,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,10.486,,3.2041,,Pythia,,5000,0.070542|10.486|
B1_10,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,12.583,,3.172,,Pythia,,6000,0.070542|12.583|
B1_11,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,14.68,,3.1466,,Pythia,,7000,0.070542|14.68|
B1_12,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,16.777,,3.1248,,Pythia,,8000,0.070542|16.777|
B1_13,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,18.874,,3.1064,,Pythia,,9000,0.070542|18.874|
B1_14,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,20.972,,3.0913,,Pythia,,10000,0.070542|20.972|
B1_15,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,23.069,,3.077,,Pythia,,11000,0.070542|23.069|
B1_16,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,25.166,,3.0646,,Pythia,,12000,0.070542|25.166|
B1_17,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,27.263,,3.0531,,Pythia,,13000,0.070542|27.263|
B1_18,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,29.36,,3.0432,,Pythia,,14000,0.070542|29.36|
B1_19,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,31.457,,3.0342,,Pythia,,15000,0.070542|31.457|
B1_20,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,33.554,,3.0254,,Pythia,,16000,0.070542|33.554|
B1_21,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,35.652,,3.018,,Pythia,,17000,0.070542|35.652|
B1_22,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,37.749,,3.0105,,Pythia,,18000,0.070542|37.749|
B1_23,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,39.846,,3.0039,,Pythia,,19000,0.070542|39.846|
B1_24,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,41.943,,2.9975,,Pythia,,20000,0.070542|41.943|
B1_25,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,44.04,,2.9921,,Pythia,,21000,0.070542|44.04|
B1_26,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,46.137,,2.9861,,Pythia,,22000,0.070542|46.137|
B1_27,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,48.234,,2.9807,,Pythia,,23000,0.070542|48.234|
B1_28,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,50.332,,2.9761,,Pythia,,24000,0.070542|50.332|
B1_29,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,52.429,,2.971,,Pythia,,25000,0.070542|52.429|
B1_30,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,54.526,,2.9668,,Pythia,,26000,0.070542|54.526|
B1_31,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,56.623,,2.9621,,Pythia,,27000,0.070542|56.623|
B1_32,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,58.72,,2.9582,,Pythia,,28000,0.070542|58.72|
B1_33,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,60.817,,2.9546,,Pythia,,29000,0.070542|60.817|
B1_34,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,62.915,,2.951,,Pythia,,30000,0.070542|62.915|
B1_35,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,65.012,,2.9473,,Pythia,,31000,0.070542|65.012|
B1_36,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,67.109,,2.9439,,Pythia,,32000,0.070542|67.109|
B1_37,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,69.206,,2.9406,,Pythia,,33000,0.070542|69.206|
B1_38,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,71.303,,2.9372,,Pythia,,34000,0.070542|71.303|
B1_39,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,73.4,,2.9343,,Pythia,,35000,0.070542|73.4|
B1_40,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,75.497,,2.9314,,Pythia,,36000,0.070542|75.497|
B1_41,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,77.595,,2.9289,,Pythia,,37000,0.070542|77.595|
B1_42,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,79.692,,2.926,,Pythia,,38000,0.070542|79.692|
B1_43,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,81.789,,2.923,,Pythia,,39000,0.070542|81.789|
B1_44,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,83.886,,2.9208,,Pythia,,40000,0.070542|83.886|
B1_45,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,85.983,,2.9182,,Pythia,,41000,0.070542|85.983|
B1_46,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,88.08,,2.9158,,Pythia,,42000,0.070542|88.08|
B1_47,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,90.178,,2.9137,,Pythia,,43000,0.070542|90.178|
B1_48,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,92.275,,2.9115,,Pythia,,44000,0.070542|92.275|
B1_49,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,94.372,,2.9093,,Pythia,,45000,0.070542|94.372|
B1_50,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,96.469,,2.9068,,Pythia,,46000,0.070542|96.469|
B1_51,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,98.566,,2.9049,,Pythia,,47000,0.070542|98.566|
B1_52,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,100.663,,2.903,,Pythia,,48000,0.070542|100.663|
B1_53,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,102.76,,2.9011,,Pythia,,49000,0.070542|102.76|
B1_54,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,104.858,,2.8989,,Pythia,,50000,0.070542|104.858|
B1_55,B,pythia_training_log_existing.csv,真实,fit,pythia_N_0.070542,pythia_N_0.070542,"[""N_params_B"",""D_tokens_B"",""val_loss""]","[""val_loss""]",False,False,False,False,0.070542,106.955,,2.8971,,Pythia,,51000,0.070542|106.955|
