observation_id,N_params_B,scale,p_fingerprint,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
A_A10_A11_0,1.0,1B,bef99833d88056d3935f,0.123,0.065,0.0,0.126,0.036,0.0,0.034,0.0,0.039,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.307
A_A10_A11_1,1.0,1B,aac75894b8a6739d3909,0.0661322645290581,0.0711422845691382,0.0,0.2114228456913827,0.0130260521042084,0.0,0.1533066132264529,0.033066132264529,0.0971943887775551,0.0,0.0,0.1012024048096192,0.0,0.0,0.0110220440881763,0.1362725450901803,0.1062124248496994
A_A10_A11_2,1.0,1B,c79fdf9e86d8f4754e8b,0.055,0.052,0.004,0.177,0.02,0.011,0.095,0.0,0.18,0.0,0.016,0.381,0.001,0.0,0.005,0.0,0.003
A_A10_A11_3,1.0,1B,7286daf577a4e8cecbd6,0.0591182364729458,0.0831663326653306,0.0,0.1743486973947895,0.1773547094188376,0.0,0.1943887775551102,0.0,0.0,0.0,0.0,0.1923847695390781,0.0050100200400801,0.1092184368737475,0.0,0.0050100200400801,0.0
A_A10_A11_4,1.0,1B,cc6931781e83dcb6bbad,0.2012012012012012,0.004004004004004,0.014014014014014,0.2432432432432432,0.01001001001001,0.03003003003003,0.017017017017017,0.0,0.1031031031031031,0.0,0.002002002002002,0.3593593593593593,0.0,0.0,0.0,0.014014014014014,0.002002002002002
A_A10_A11_5,1.0,1B,dbaa4b7372ba060ad926,0.036,0.212,0.0,0.153,0.005,0.047,0.205,0.0,0.075,0.0,0.0,0.209,0.0,0.001,0.0,0.002,0.055
A_A10_A11_6,1.0,1B,b852bf450cfb75e69a1c,0.0420841683366733,0.1132264529058116,0.0,0.0891783567134268,0.0220440881763527,0.0070140280561122,0.0280561122244488,0.0,0.0110220440881763,0.0,0.2174348697394789,0.2324649298597194,0.0801603206412825,0.1172344689378757,0.0180360721442885,0.0110220440881763,0.0110220440881763
A_A10_A11_7,1.0,1B,21f87bdaaaf6d1e03d87,0.12625250501002,0.2104208416833667,0.0,0.1232464929859719,0.0551102204408817,0.0080160320641282,0.0080160320641282,0.0,0.1292585170340681,0.0,0.0350701402805611,0.2885771543086172,0.0,0.0,0.0,0.0160320641282565,0.0
A_A10_A11_8,1.0,1B,5c56a78d7af21ee194a4,0.184,0.009,0.0,0.094,0.035,0.007,0.106,0.0,0.142,0.0,0.0,0.341,0.0,0.0,0.002,0.005,0.075
A_A10_A11_9,1.0,1B,015120e6942211d8a034,0.226,0.046,0.0,0.261,0.001,0.001,0.189,0.0,0.077,0.0,0.01,0.114,0.003,0.0,0.0,0.039,0.033
A_A10_A11_10,1.0,1B,ea082e36ba5bd1abfa32,0.107,0.276,0.0,0.157,0.009,0.0,0.024,0.0,0.051,0.0,0.001,0.273,0.0,0.003,0.034,0.009,0.056
A_A10_A11_11,1.0,1B,b496048adf9a67b51747,0.139,0.048,0.0,0.184,0.032,0.001,0.055,0.0,0.109,0.0,0.0,0.354,0.0,0.003,0.0,0.075,0.0
A_A10_A11_12,1.0,1B,8b565549efcfd409ae16,0.1012024048096192,0.0470941883767535,0.001002004008016,0.1192384769539078,0.0490981963927855,0.0921843687374749,0.0781563126252505,0.0,0.002004008016032,0.0,0.0511022044088176,0.283567134268537,0.0571142284569138,0.0,0.0,0.0611222444889779,0.0571142284569138
A_A10_A11_13,1.0,1B,23627bf55d55fec4b008,0.0990990990990991,0.002002002002002,0.022022022022022,0.5015015015015015,0.003003003003003,0.0,0.017017017017017,0.043043043043043,0.065065065065065,0.0,0.091091091091091,0.055055055055055,0.0,0.006006006006006,0.0,0.007007007007007,0.088088088088088
