observation_id,N_params_B,scale,p_fingerprint,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
A_A12_A13_1,10.0,10B,3bacb5d55d09cf018958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.209,0.787,0.0,0.0,0.0,0.0,0.0
A_A12_A13_2,10.0,10B,270c49017594eb3c119d,0.0250501002004008,0.002004008016032,0.0501002004008016,0.0,0.0470941883767535,0.0,0.3046092184368737,0.0090180360721442,0.003006012024048,0.001002004008016,0.1032064128256513,0.2995991983967935,0.0240480961923847,0.0400801603206412,0.0901803607214428,0.001002004008016,0.0
A_A12_A13_3,10.0,10B,386c962541c742788c20,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0
A_A12_A13_4,10.0,10B,6de449e619cea2ffd0e8,0.0079920079920079,0.0249750249750249,0.0,0.0069930069930069,0.0149850149850149,0.0,0.3146853146853147,0.0,0.2157842157842158,0.0,0.1088911088911089,0.0059940059940059,0.0,0.0089910089910089,0.0,0.0539460539460539,0.2367632367632367
A_A12_A13_5,10.0,10B,88a345807cc1c3ce9f30,0.1928071928071928,0.0029970029970029,0.0,0.0599400599400599,0.0099900099900099,0.0609390609390609,0.0309690309690309,0.0,0.4165834165834166,0.0,0.1278721278721279,0.0219780219780219,0.0,0.0079920079920079,0.0009990009990009,0.0,0.0669330669330669
A_A12_A13_6,10.0,10B,024cbb8fa19d9583a81e,0.5065065065065065,0.005005005005005,0.0,0.011011011011011,0.1381381381381381,0.0,0.2102102102102102,0.0,0.0,0.002002002002002,0.0,0.0,0.026026026026026,0.0990990990990991,0.0,0.001001001001001,0.001001001001001
A_A12_A13_7,10.0,10B,4a1580765d2444101860,0.0,0.0,0.009,0.319,0.016,0.004,0.0,0.001,0.028,0.019,0.004,0.185,0.008,0.0,0.004,0.001,0.402
A_A12_A13_8,10.0,10B,4f7ff0e9e2745dde9df9,0.0,0.5675675675675675,0.014014014014014,0.0,0.0,0.0,0.0,0.022022022022022,0.0,0.0,0.003003003003003,0.3933933933933934,0.0,0.0,0.0,0.0,0.0
A_A12_A13_9,10.0,10B,0f70a0fef2944a2ddfbc,0.0,0.0,0.0,0.828,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0
A_A12_A13_10,10.0,10B,2a8e3c06c6f840e149ec,0.006,0.0,0.0,0.307,0.59,0.0,0.005,0.0,0.036,0.0,0.014,0.042,0.0,0.0,0.0,0.0,0.0
A_A12_A13_11,10.0,10B,9094b27bbcbb20323d64,0.0,0.924,0.0,0.0,0.003,0.0,0.004,0.0,0.001,0.0,0.019,0.0,0.0,0.0,0.0,0.049,0.0
A_A12_A13_12,10.0,10B,ce20ac6cecaacb27e265,0.0,0.5911823647294588,0.0460921843687374,0.1342685370741483,0.002004008016032,0.0,0.0,0.0130260521042084,0.002004008016032,0.0,0.1713426853707415,0.0,0.0,0.0,0.0,0.0400801603206412,0.0
A_A12_A13_13,10.0,10B,3cc8a5debd7371438461,0.0,0.006,0.0,0.818,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.161,0.0,0.001,0.012,0.0,0.0
A_A12_A13_14,10.0,10B,491989636ea53bba443c,0.0,0.0089910089910089,0.0339660339660339,0.1858141858141858,0.0459540459540459,0.0189810189810189,0.0719280719280719,0.0079920079920079,0.0259740259740259,0.0,0.0779220779220779,0.0129870129870129,0.0349650349650349,0.0019980019980019,0.1078921078921079,0.3436563436563437,0.0209790209790209
A_A12_A13_15,10.0,10B,c715837530fd1df2cb97,0.003006012024048,0.0,0.001002004008016,0.0160320641282565,0.1302605210420841,0.0080160320641282,0.1002004008016032,0.001002004008016,0.3797595190380761,0.0,0.033066132264529,0.0040080160320641,0.0,0.003006012024048,0.0270541082164328,0.2144288577154308,0.0791583166332665
