observation_id,N_params_B,D_tokens_B,source_file,model_name
supplementary_large_models_1,100.0,20000.0,supplementary_large_models.csv,Ling-flash-base-2.0-20T
supplementary_large_models_2,100.0,3670.0,supplementary_large_models.csv,FaXin
supplementary_large_models_3,100.0,2000.0,supplementary_large_models.csv,PLaMo-100B
supplementary_large_models_4,100.0,3000.0,supplementary_large_models.csv,Yi-Large
supplementary_large_models_5,100.0,2000.0,supplementary_large_models.csv,Hunyuan
supplementary_large_models_6,100.0,2000.0,supplementary_large_models.csv,Luca 2.0
supplementary_large_models_7,100.0,275.0,supplementary_large_models.csv,xTrimoPGLM -100B
supplementary_large_models_8,100.0,300.0,supplementary_large_models.csv,YaLM
supplementary_large_models_9,100.0,0.0,supplementary_large_models.csv,DLRM-2020
supplementary_large_models_10,101.0,311.5,supplementary_large_models.csv,FLM-101B
supplementary_large_models_11,102.0,19700.0,supplementary_large_models.csv,"Solar Open 100B
"
supplementary_large_models_12,102.0,179.7,supplementary_large_models.csv,Odyssey 102B
supplementary_large_models_13,102.6,289.1,supplementary_large_models.csv,Yuan 2.0
supplementary_large_models_14,104.0,1600.0,supplementary_large_models.csv,InternLM
supplementary_large_models_15,104.2,1000.0,supplementary_large_models.csv,Ring-flash-linear-2.0
supplementary_large_models_16,106.0,2603.8,supplementary_large_models.csv,GLM-4.5-Air
supplementary_large_models_17,108.0,2013.3,supplementary_large_models.csv,GLM-4.5V
supplementary_large_models_18,109.0,30000.0,supplementary_large_models.csv,Llama 4 Scout
supplementary_large_models_19,115.0,10000.0,supplementary_large_models.csv,Telechat2-115B
supplementary_large_models_20,116.8,7047.3,supplementary_large_models.csv,gpt-oss-120b
supplementary_large_models_21,120.0,106.0,supplementary_large_models.csv,Galactica
supplementary_large_models_22,123.0,28861.8,supplementary_large_models.csv,Mistral Large 2
supplementary_large_models_23,130.0,1668.0,supplementary_large_models.csv,Step-Audio-Chat 130B
supplementary_large_models_24,130.0,800.0,supplementary_large_models.csv,Step-1
supplementary_large_models_25,130.0,2468.0,supplementary_large_models.csv,Step-Omni
supplementary_large_models_26,130.0,1000.0,supplementary_large_models.csv,BlueLM 130B
supplementary_large_models_27,130.0,152.0,supplementary_large_models.csv,GLM-130B
supplementary_large_models_28,132.0,12000.0,supplementary_large_models.csv,DBRX
supplementary_large_models_29,135.0,13200.0,supplementary_large_models.csv,Pangu Ultra
supplementary_large_models_30,135.0,500.0,supplementary_large_models.csv,MEB
supplementary_large_models_31,137.0,681.2,supplementary_large_models.csv,BIG-G 137B
supplementary_large_models_32,137.0,2080.0,supplementary_large_models.csv,LaMDA
supplementary_large_models_33,137.0,2490.0,supplementary_large_models.csv,FLAN 137B
supplementary_large_models_34,141.0,2766.0,supplementary_large_models.csv,Mixtral 8x22B
supplementary_large_models_35,142.0,11328.0,supplementary_large_models.csv,dots.llm1
supplementary_large_models_36,174.6,238.0,supplementary_large_models.csv,GPT-3 175B (davinci)
supplementary_large_models_37,175.0,300.0,supplementary_large_models.csv,MegaScale (175B)
supplementary_large_models_38,175.0,1000.0,supplementary_large_models.csv,BlueLM 175B
supplementary_large_models_39,175.0,2.0,supplementary_large_models.csv,OPT-IML (175B)
supplementary_large_models_40,175.0,1.3,supplementary_large_models.csv,BlenderBot 3
supplementary_large_models_41,175.0,180.0,supplementary_large_models.csv,OPT-175B
supplementary_large_models_42,175.0,0.0,supplementary_large_models.csv,InstructGPT 175B
supplementary_large_models_43,176.0,38.0,supplementary_large_models.csv,BLUUMI
supplementary_large_models_44,176.0,20.0,supplementary_large_models.csv,BLOOMZ-176B
