observation_id,N_params_B,D_tokens_B,Q_score,source_file,family
scaling_baseline_1,1.3,405.0,,scaling_baseline.csv,Phi
scaling_baseline_2,65.0,11349.0,,scaling_baseline.csv,LLaMA
scaling_baseline_3,13.0,2229.0,,scaling_baseline.csv,LLaMA
scaling_baseline_4,33.0,4583.0,,scaling_baseline.csv,LLaMA
scaling_baseline_5,20.0,3000.0,,scaling_baseline.csv,Qwen2
scaling_baseline_6,72.0,33739.0,,scaling_baseline.csv,Qwen2
scaling_baseline_7,1.4,129.0,,scaling_baseline.csv,Pythia
scaling_baseline_8,12.0,300.0,,scaling_baseline.csv,Pythia
scaling_baseline_9,2.8,300.0,,scaling_baseline.csv,Pythia
scaling_baseline_10,0.16,13.0,,scaling_baseline.csv,Pythia
scaling_baseline_11,2.7,1084.0,,scaling_baseline.csv,Phi
scaling_baseline_12,7.0,1229.0,,scaling_baseline.csv,LLaMA
scaling_baseline_13,3.5,2200.0,,scaling_baseline.csv,LLaMA
scaling_baseline_14,0.41,41.0,,scaling_baseline.csv,Pythia
scaling_baseline_15,6.9,300.0,,scaling_baseline.csv,Pythia
scaling_baseline_16,0.5,361.0,,scaling_baseline.csv,Qwen2
scaling_baseline_17,14.0,4790.0,,scaling_baseline.csv,Phi
scaling_baseline_18,4.2,350.0,,scaling_baseline.csv,Phi
scaling_baseline_19,7.0,4448.0,,scaling_baseline.csv,Phi
scaling_baseline_20,7.0,2221.0,,scaling_baseline.csv,Qwen2
scaling_baseline_21,2.0,1049.0,,scaling_baseline.csv,Gemma
scaling_baseline_22,7.0,4109.0,,scaling_baseline.csv,Gemma
scaling_baseline_23,0.07,6.0,,scaling_baseline.csv,Pythia
scaling_baseline_24,1.5,680.0,,scaling_baseline.csv,Qwen2
scaling_baseline_25,1.0,111.0,,scaling_baseline.csv,Pythia
scaling_baseline_26,18.0,2800.0,,scaling_baseline.csv,Phi
scaling_baseline_27,0.12,40.0,,scaling_baseline.csv,GPT2
scaling_baseline_28,0.35,40.0,,scaling_baseline.csv,GPT2
scaling_baseline_29,0.77,40.0,,scaling_baseline.csv,GPT2
scaling_baseline_30,1.5,40.0,,scaling_baseline.csv,GPT2
scaling_baseline_31,0.13,300.0,,scaling_baseline.csv,OPT
scaling_baseline_32,0.35,300.0,,scaling_baseline.csv,OPT
scaling_baseline_33,1.3,300.0,,scaling_baseline.csv,OPT
scaling_baseline_34,2.7,300.0,,scaling_baseline.csv,OPT
scaling_baseline_35,6.7,300.0,,scaling_baseline.csv,OPT
scaling_baseline_36,13.0,300.0,,scaling_baseline.csv,OPT
scaling_baseline_37,30.0,300.0,,scaling_baseline.csv,OPT
scaling_baseline_38,0.56,350.0,,scaling_baseline.csv,BLOOM
scaling_baseline_39,1.7,350.0,,scaling_baseline.csv,BLOOM
scaling_baseline_40,3.0,350.0,,scaling_baseline.csv,BLOOM
scaling_baseline_41,7.1,350.0,,scaling_baseline.csv,BLOOM
scaling_baseline_42,7.0,1500.0,,scaling_baseline.csv,Falcon
scaling_baseline_43,40.0,1500.0,,scaling_baseline.csv,Falcon
scaling_baseline_44,7.0,8000.0,,scaling_baseline.csv,Mistral
scaling_baseline_45,6.0,3000.0,,scaling_baseline.csv,Yi
scaling_baseline_46,34.0,3000.0,,scaling_baseline.csv,Yi
scaling_baseline_47,70.0,15000.0,,scaling_baseline.csv,LLaMA
scaling_baseline_48,32.0,18000.0,,scaling_baseline.csv,Qwen2
scaling_baseline_49,72.0,18000.0,,scaling_baseline.csv,Qwen2
scaling_baseline_50,9.0,8000.0,,scaling_baseline.csv,Gemma
scaling_baseline_51,0.11,2050.0,,scaling_baseline.csv,Cerebras-GPT
scaling_baseline_52,0.26,2050.0,,scaling_baseline.csv,Cerebras-GPT
scaling_baseline_53,0.59,2050.0,,scaling_baseline.csv,Cerebras-GPT
scaling_baseline_54,1.3,2050.0,,scaling_baseline.csv,Cerebras-GPT
scaling_baseline_55,2.7,2050.0,,scaling_baseline.csv,Cerebras-GPT
scaling_baseline_56,6.7,2050.0,,scaling_baseline.csv,Cerebras-GPT
scaling_baseline_57,13.0,2050.0,,scaling_baseline.csv,Cerebras-GPT
published_scaling_data_1,1.5,10.0,,published_scaling_data.csv,GPT-2
published_scaling_data_2,0.125,300.0,,published_scaling_data.csv,GPT-3
published_scaling_data_3,0.35,300.0,,published_scaling_data.csv,GPT-3
published_scaling_data_4,0.77,300.0,,published_scaling_data.csv,GPT-3
published_scaling_data_5,1.3,300.0,,published_scaling_data.csv,GPT-3
published_scaling_data_6,2.6,300.0,,published_scaling_data.csv,GPT-3
published_scaling_data_7,6.7,300.0,,published_scaling_data.csv,GPT-3
published_scaling_data_8,13.0,300.0,,published_scaling_data.csv,GPT-3
published_scaling_data_9,175.0,300.0,,published_scaling_data.csv,GPT-3
published_scaling_data_10,0.5,5.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_11,1.0,20.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_12,1.4,20.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_13,4.0,80.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_14,7.0,140.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_15,13.0,260.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_16,20.0,400.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_17,40.0,800.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_18,70.0,1400.0,,published_scaling_data.csv,Chinchilla
published_scaling_data_19,0.2,300.0,,published_scaling_data.csv,Gopher
published_scaling_data_20,0.5,300.0,,published_scaling_data.csv,Gopher
published_scaling_data_21,1.4,300.0,,published_scaling_data.csv,Gopher
published_scaling_data_22,2.8,300.0,,published_scaling_data.csv,Gopher
published_scaling_data_23,7.6,300.0,,published_scaling_data.csv,Gopher
published_scaling_data_24,40.0,300.0,,published_scaling_data.csv,Gopher
published_scaling_data_25,280.0,300.0,,published_scaling_data.csv,Gopher
published_scaling_data_26,7.0,1000.0,,published_scaling_data.csv,LLaMA
published_scaling_data_27,13.0,1000.0,,published_scaling_data.csv,LLaMA
published_scaling_data_28,33.0,1000.0,,published_scaling_data.csv,LLaMA
published_scaling_data_29,65.0,1400.0,,published_scaling_data.csv,LLaMA
published_scaling_data_30,7.0,2000.0,,published_scaling_data.csv,LLaMA-2
published_scaling_data_31,13.0,2000.0,,published_scaling_data.csv,LLaMA-2
published_scaling_data_32,70.0,2000.0,,published_scaling_data.csv,LLaMA-2
published_scaling_data_33,8.0,780.0,,published_scaling_data.csv,PaLM
published_scaling_data_34,62.0,780.0,,published_scaling_data.csv,PaLM
published_scaling_data_35,540.0,780.0,,published_scaling_data.csv,PaLM
published_scaling_data_36,1.3,180.0,,published_scaling_data.csv,OPT
published_scaling_data_37,6.7,180.0,,published_scaling_data.csv,OPT
published_scaling_data_38,30.0,180.0,,published_scaling_data.csv,OPT
published_scaling_data_39,66.0,180.0,,published_scaling_data.csv,OPT
published_scaling_data_40,175.0,180.0,,published_scaling_data.csv,OPT
published_scaling_data_41,0.56,366.0,,published_scaling_data.csv,BLOOM
published_scaling_data_42,1.7,366.0,,published_scaling_data.csv,BLOOM
published_scaling_data_43,7.1,366.0,,published_scaling_data.csv,BLOOM
published_scaling_data_44,176.0,366.0,,published_scaling_data.csv,BLOOM
