observation_id,N_params_B,D_tokens_B,Q_score,source_file,family
supplementary_NQ_experiment_large_1,0.07,5.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_2,0.07,5.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_3,0.07,5.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_4,0.07,5.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_5,0.07,5.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_6,0.07,5.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_7,0.07,5.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_8,0.07,5.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_9,0.07,5.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_10,0.07,5.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_11,0.07,5.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_12,0.07,5.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_13,0.07,10.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_14,0.07,10.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_15,0.07,10.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_16,0.07,10.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_17,0.07,20.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_18,0.07,20.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_19,0.07,20.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_20,0.07,20.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_21,0.07,20.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_22,0.07,20.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_23,0.07,20.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_24,0.07,20.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_25,0.07,20.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_26,0.07,20.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_27,0.07,20.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_28,0.07,20.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_29,0.07,50.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_30,0.07,50.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_31,0.07,50.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_32,0.07,50.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_33,0.07,100.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_34,0.07,100.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_35,0.07,100.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_36,0.07,100.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_37,0.07,100.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_38,0.07,100.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_39,0.07,100.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_40,0.07,100.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_41,0.07,100.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_42,0.07,100.0,0.9,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_43,0.07,100.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_44,0.07,100.0,1.0,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_45,0.07,150.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_46,0.07,150.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_47,0.07,150.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_48,0.07,150.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_49,0.07,300.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_50,0.07,300.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_51,0.07,300.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_52,0.07,300.0,0.95,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_53,0.07,500.0,0.05,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_54,0.07,500.0,0.1,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_55,0.07,500.0,0.2,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_56,0.07,500.0,0.3,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_57,0.07,500.0,0.4,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_58,0.07,500.0,0.5,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_59,0.07,500.0,0.6,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_60,0.07,500.0,0.7,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_61,0.07,500.0,0.8,supplementary_NQ_experiment_large.csv,
supplementary_NQ_experiment_large_62,0.07,500.0,0.9,supplementary_NQ_experiment_large.csv,
